"1"," ALTAGRACIA ","1","1"
"2"," ANTIMANO ","1","1"
"3"," CANDELARIA ","1","1"
"4"," CARICUAO ","1","1"
"5"," CATEDRAL ","1","1"
"6"," COCHE ","1","1"
"7"," EL JUNQUITO ","1","1"
"8"," EL PARAISO ","1","1"
"9"," EL RECREO ","1","1"
"10"," EL VALLE ","1","1"
"11"," LA PASTORA ","1","1"
"12"," LA VEGA ","1","1"
"13"," MACARAO ","1","1"
"14"," SAN AGUSTIN ","1","1"
"15"," SAN BERNARDINO ","1","1"
"16"," SAN JOSE ","1","1"
"17"," SAN JUAN ","1","1"
"18"," SAN PEDRO ","1","1"
"19"," SANTA ROSALIA ","1","1"
"20"," SANTA TERESA ","1","1"
"21"," SUCRE ","1","1"
"22"," 23 DE ENERO ","1","1"
"23"," CAPITAL ALTO ORINOCO ","2","1"
"24"," UCATA ","2","2"
"25"," NO URBANA PAO DE ZARATE ","2","3"
"26"," PARAISO DE SAN JOSE ","2","3"
"27"," SAMARIAPO ","2","4"
"28"," VICTORINO ","2","5"
"29"," ALTO VENTUARI ","2","6"
"30"," CAPITAL RIO NEGRO ","2","7"
"31"," CAPITAL ANACO ","3","1"
"32"," SAN JOAQUIN ","3","1"
"33"," CAPITAL ARAGUA ","3","2"
"34"," CACHIPO ","3","2"
"35"," CAPITAL FERNANDO DE PE&#209","0","3"
"36"," SAN MIGUEL ","3","3"
"37"," SUCRE ","3","3"
"38"," VALLE DE GUANAPE ","3","4"
"39"," SANTA ROSALIA ","3","4"
"40"," CAPITAL FRANCISCO DE MIRANDA ","3","5"
"41"," ATAPIRIRE ","3","5"
"42"," BOCA DEL PAO ","3","5"
"43"," EL PAO ","3","5"
"44"," GUANTA ","3","6"
"45"," PARHUE&#209","0","3"
"46"," CAPITAL INDEPENDENCIA ","3","7"
"47"," MAMO ","3","7"
"48"," CAPITAL PUERTO LA CRUZ ","3","8"
"49"," POZUELOS ","3","8"
"50"," CAPITAL ONOTO ","3","9"
"51"," SAN PABLO ","3","9"
"52"," CAPITAL JOSE GREGORIO MONAGAS ","3","10"
"53"," PIAR ","3","10"
"54"," SAN DIEGO DE CABRUTICA ","3","10"
"55"," SANTA CLARA ","3","10"
"56"," UVERITO ","3","10"
"57"," ZUATA ","3","10"
"58"," CAPITAL LIBERTAD ","3","11"
"59"," EL CARITO ","3","11"
"60"," SANTA INES ","3","11"
"61"," CAPITAL CLARINES ","3","12"
"62"," GUANAPE ","3","12"
"63"," SABANA DE UCHIRE ","3","12"
"64"," CAPITAL PEDRO MARIA FREITES ","3","13"
"65"," LIBERTADOR ","3","13"
"66"," SANTA ROSA ","3","13"
"67"," URICA ","3","13"
"68"," CAPITAL PIRITU ","3","14"
"69"," SAN FRANCISCO ","3","14"
"70"," CAPITAL SAN JOSE DE GUANIPA ","3","15"
"71"," CAPITAL BOCA DE UCHIRE ","3","16"
"72"," BOCA DE CHAVEZ ","3","16"
"73"," CAPITAL SANTA ANA ","3","17"
"74"," PUEBLO NUEVO ","3","17"
"75"," EL CARMEN ","3","18"
"76"," SAN CRISTOBAL ","3","18"
"77"," BERGANTIN ","3","18"
"78"," CAIGUA ","3","18"
"79"," EL PILAR ","3","18"
"80"," SANTA INUS ","3","18"
"81"," P. CAPITAL SIMON RODRIGUEZ ","3","19"
"82"," EL CHAPARRO ","3","20"
"83"," TOMAS ALFARO CALATRAVA ","3","20"
"84"," LECHERIAS ","3","21"
"85"," EL MORRO ","3","21"
"86"," URBANA ACHAGUAS ","4","1"
"87"," APURITO ","4","1"
"88"," EL YAGUAL ","4","1"
"89"," GUACHARA ","4","1"
"90"," MUCURITAS ","4","1"
"91"," QUESERAS DEL MEDIO ","4","1"
"92"," URBANA BIRUACA ","4","2"
"93"," URBANA BRUZUAL ","4","3"
"94"," MANTECAL ","4","3"
"95"," QUINTERO ","4","3"
"96"," RINCON HONDO ","4","3"
"97"," SAN VICENTE ","4","3"
"98"," URBANA GUASDUALITO ","4","4"
"99"," ARAMENDI ","4","4"
"100"," EL AMPARO ","4","4"
"101"," SAN CAMILO ","4","4"
"102"," URDANETA ","4","4"
"103"," URBANA SAN JUAN DE PAYARA ","4","5"
"104"," CODAZZI ","4","5"
"105"," CUNAVICHE ","4","5"
"106"," URBANA ELORZA ","4","6"
"107"," LA TRINIDAD ","4","6"
"108"," URBANA SAN FERNANDO ","4","7"
"109"," EL RECREO ","4","7"
"110"," PE&Ntilde","0","4"
"111"," SAN RAFAEL DE ATAMAICA ","4","7"
"112"," CAPITAL BOLIVAR ","5","1"
"113"," CAPITAL CAMATAGUA ","5","2"
"114"," NO URBANA CARMEN DE CURA ","5","2"
"115"," NO URBANA CHORONI ","5","3"
"116"," URBANA LAS DELICIAS ","5","3"
"117"," URBANA M. MARIA DE S JOSE ","5","3"
"118"," URBANA JOAQUIN CRESPO ","5","3"
"119"," URBANA PEDRO JOSE OVALLES ","5","3"
"120"," URBANA JOSE CASANOVA GODOY ","5","3"
"121"," URBANA ANDRES ELOY BLANCO ","5","3"
"122"," URBANA LOS TACARIGUAS ","5","3"
"123"," CAPITAL JOSE ANGEL LAMAS ","5","4"
"124"," CAPITAL JOSE FELIX RIBAS ","5","5"
"125"," CASTOR NIEVES RIOS ","5","5"
"126"," NO URBANA LAS GUACAMAYAS ","5","5"
"127"," NO URBANA PAO DE ZARATE ","5","5"
"128"," NO URBANA ZUATA ","5","5"
"129"," CAPITAL DIAZ ","5","6"
"130"," CAPITAL LIBERTADOR ","5","7"
"131"," NO URBANA S MARTIN DE PORRES ","5","7"
"132"," CAPITAL MARIO BRICE&Ntilde","0","5"
"133"," CA&Ntilde","0","5"
"134"," CAPITAL SAN CASIMIRO ","5","9"
"135"," NO URBANA GUIRIPA ","5","9"
"136"," NO URBANA OLLAS DE CARAMACATE ","5","9"
"137"," NO URBANA VALLE MORIN ","5","9"
"138"," CAPITAL SAN SEBASTIAN ","5","10"
"139"," CAPITAL SANTIAGO MARI&Ntilde","0","5"
"140"," NO URBANA ARAVALO APONTE ","5","11"
"141"," NO URBANA CHUAO ","5","11"
"142"," NO URBANA SAMAN DE GUERE ","5","11"
"143"," NO URBANA ALFREDO PACHECO M ","5","11"
"144"," CAPITAL SANTOS MICHELENA ","5","12"
"145"," NO URBANA TIARA ","5","12"
"146"," CAPITAL SUCRE ","5","13"
"147"," NO URBANA BELLA VISTA ","5","13"
"148"," CAPITAL TOVAR ","5","14"
"149"," CAPITAL URDANETA ","5","15"
"150"," NO URBANA LAS PE&Ntilde","0","5"
"151"," NO URBANA SAN FRANCISCO DE C ","5","15"
"152"," NO URBANA TAGUAY ","5","15"
"153"," CAPITAL ZAMORA ","5","16"
"154"," NO URBANA MAGDALENO ","5","16"
"155"," NO URBANA S FRANCISCO DE ASIS ","5","16"
"156"," NO URBANA VALLES DE TUCUTUNEMO ","5","16"
"157"," NO URBANA AUGUSTO MIJARES ","5","16"
"158"," CAPITAL FRANCISCO LINARES A. ","5","17"
"159"," NO URBANA FRANCISCO DE MIRANDA ","5","17"
"160"," NO URBANA MONSE&Ntilde","0","5"
"161"," CAPITAL OCM DE LA COSTA DE ORO ","5","18"
"162"," SABANETA ","6","1"
"163"," RODRIGUEZ DOMINGUEZ ","6","1"
"164"," TICOPORO ","6","2"
"165"," ANDRES BELLO ","6","2"
"166"," NICOLAS PULIDO ","6","2"
"167"," ARISMENDI ","6","3"
"168"," GUADARRAMA ","6","3"
"169"," LA UNION ","6","3"
"170"," SAN ANTONIO ","6","3"
"171"," BARINAS ","6","4"
"172"," ALFREDO ARVELO LARRIVA ","6","4"
"173"," SAN SILVESTRE ","6","4"
"174"," SANTA INES ","6","4"
"175"," SANTA LUCIA ","6","4"
"176"," TORUNOS ","6","4"
"177"," EL CARMEN ","6","4"
"178"," ROMULO BETANCOURT ","6","4"
"179"," CHIQUINQUIRA ","6","4"
"180"," RAMON IGNACIO MENDEZ ","6","4"
"181"," ALTO BARINAS ","6","4"
"182"," MANUEL PALACIO FAJARDO ","6","4"
"183"," JUAN A RODRIGUEZ DOMINGUEZ ","6","4"
"184"," DOMINGA ORTIZ DE PEREZ ","6","4"
"185"," BARINITAS ","6","5"
"186"," ALTAMIRA ","6","5"
"187"," CALDERAS ","6","5"
"188"," BARRANCAS ","6","6"
"189"," EL SOCORRO ","6","6"
"190"," MASPARRITO ","6","6"
"191"," SANTA BARBARA ","6","7"
"192"," JOSE IGNACIO DEL PUMAR ","6","7"
"193"," PEDRO BRICE&#209","0","6"
"194"," RAMON IGNACIO MENDEZ ","6","7"
"195"," OBISPOS ","6","8"
"196"," EL REAL ","6","8"
"197"," LA LUZ ","6","8"
"198"," LOS GUASIMITOS ","6","8"
"199"," CIUDAD BOLIVIA ","6","9"
"200"," IGNACIO BRICE&#209","0","6"
"201"," JOSE FELIX RIBAS ","6","9"
"202"," PAEZ ","6","9"
"203"," LIBERTAD ","6","10"
"204"," DOLORES ","6","10"
"205"," PALACIOS FAJARDO ","6","10"
"206"," SANTA ROSA ","6","10"
"207"," CIUDAD DE NUTRIAS ","6","11"
"208"," EL REGALO ","6","11"
"209"," PUERTO DE NUTRIAS ","6","11"
"210"," SANTA CATALINA ","6","11"
"211"," EL CANTON ","6","12"
"212"," SANTA CRUZ DE GUACAS ","6","12"
"213"," PUERTO VIVAS ","6","12"
"214"," CACHAMAY ","15","1"
"215"," CHIRICA ","15","67"
"216"," DALLA COSTA ","15","1"
"217"," ONCE DE ABRIL ","15","1"
"218"," SIMON BOLIVAR ","15","1"
"219"," UNARE ","15","1"
"220"," UNIVERSIDAD ","15","1"
"221"," VISTA AL SOL ","15","1"
"222"," POZO VERDE ","15","1"
"223"," YOCOIMA ","15","1"
"224"," SECCION CAPITAL CEDE&#209","0","15"
"225"," ADRIAN ","15","2"
"226"," ASCENSION FARRERAS ","15","2"
"227"," GUIRIA ","15","2"
"228"," LA URBANA ","15","2"
"229"," PIJIGUAOS ","15","2"
"230"," CAPITAL EL CALLAO ","15","3"
"231"," SECCION CAPITAL GRAN SABANA ","15","4"
"232"," IKABARU ","15","4"
"233"," AGUA SALADA ","15","5"
"234"," CATEDRAL ","15","5"
"235"," JOSE ANTONIO PAEZ ","15","5"
"236"," LA SABANITA ","15","5"
"237"," MARHUANTA ","15","5"
"238"," VISTA HERMOSA ","15","5"
"239"," ORINOCO ","15","5"
"240"," PANAPANA ","15","5"
"241"," ZEA ","15","5"
"242"," SECCION CAPITAL PIAR ","15","6"
"243"," ANDRES ELOY BLANCO ","15","6"
"244"," PEDRO COVA ","15","6"
"245"," SECCION CAPITAL RAUL LEONI ","15","7"
"246"," BARCELONETA ","15","7"
"247"," SAN FRANCISCO ","15","7"
"248"," SANTA BARBARA ","15","7"
"249"," SECCION CAPITAL ROSCIO ","15","8"
"250"," SALOM ","15","8"
"251"," SECCION CAPITAL SIFONTES ","15","9"
"252"," DALLA COSTA ","15","9"
"253"," SAN ISIDRO ","15","9"
"254"," SECCION CAPITAL SUCRE ","15","10"
"255"," ARIPAO ","15","10"
"256"," GUARATARO ","15","10"
"257"," LAS MAJADAS ","15","10"
"258"," MOITACO ","15","10"
"259"," CAPITAL PADRE PEDRO CHIEN ","15","11"
"260"," URBANA BEJUMA ","8","1"
"261"," NO URBANA CANOABO ","8","1"
"262"," NO URBANA SIMON BOLIVAR ","8","1"
"263"," URBANA GUIGUE ","8","2"
"264"," NO URBANA BELUN ","8","2"
"265"," NO URBANA TACARIGUA ","8","2"
"266"," URBANA AGUAS CALIENTES ","8","3"
"267"," URBANA MARIARA ","8","3"
"268"," URBANA CIUDAD ALIANZA ","8","4"
"269"," URBANA GUACARA ","8","4"
"270"," NO URBANA YAGUA ","8","4"
"271"," URBANA MORON ","8","5"
"272"," NO URBANA URAMA ","8","5"
"273"," URBANA TOCUYITO ","8","6"
"274"," URBANA INDEPENDENCIA ","8","6"
"275"," URBANA LOS GUAYOS ","8","7"
"276"," URBANA MIRANDA ","8","8"
"277"," URBANA MONTALBAN ","8","9"
"278"," URBANA NAGUANAGUA ","8","10"
"279"," URBANA BARTOLOME SALOM ","8","11"
"280"," URBANA DEMOCRACIA ","8","11"
"281"," URBANA FRATERNIDAD ","8","11"
"282"," URBANA GOAIGOAZA ","8","11"
"283"," URBANA JUAN JOSE FLORES ","8","11"
"284"," URBANA UNION ","8","11"
"285"," NO URBANA BORBURATA ","8","11"
"286"," NICOLAS PULIDO ","8","11"
"287"," URBANA SAN DIEGO ","8","12"
"288"," URBANA SAN JOAQUIN ","8","13"
"289"," URBANA CANDELARIA ","8","14"
"290"," URBANA CATEDRAL ","8","14"
"291"," URBANA EL SOCORRO ","8","14"
"292"," URBANA MIGUEL PE&#209","0","8"
"293"," URBANA RAFAEL URDANETA ","8","14"
"294"," URBANA GUIGUE ","8","14"
"295"," URBANA SAN JOSE ","8","14"
"296"," URBANA SANTA ROSA ","8","14"
"297"," NO URBANA NEGRO PRIMERO ","8","14"
"298"," COJEDES ","9","1"
